Address,Parcel ID
2 B ST,24-404A-5
4 BALDWIN ST,1-31-16
11 BARRETT ST,24-388-2
12 BARRETT ST,24-387-29
17 BARRETT ST,24-388-3
18 BARRETT ST,24-387-28
20 BARRETT ST,24-387-27
21 BARRETT ST,24-388-4
25 BARRETT ST,24-388-5
28 BARRETT ST,24-387-26
31 BARRETT ST,24-388-6
34 BARRETT ST,24-387-25
35 BARRETT ST,24-388-7A-1
38 BARRETT ST,24-387-24
39 BARRETT ST,24-388-8
42 BARRETT ST,24-387-23
44 BARRETT ST,24-387-22
45 BARRETT ST,24-388-9
47 BARRETT ST,24-388-10
48 BARRETT ST,24-387-21
51 BARRETT ST,24-388-11
52 BARRETT ST,24-387-20
55 BARRETT ST,24-388-12
56 BARRETT ST,24-387-19
 BATEMAN AVE,14-192D-23
11 BATEMAN AVE,14-192D-21
15 BATEMAN AVE,14-192D-22
16 BATEMAN AVE,14-192C-13
21 BATEMAN AVE,14-192D-24
24 BATEMAN AVE,14-192C-12
25 BATEMAN AVE,14-192D-25
28 BATEMAN AVE,14-192C-10A
29 BATEMAN AVE,14-192D-26
33 BATEMAN AVE,14-192D-27
38 BATEMAN AVE,14-192C-9
39 BATEMAN AVE,14-192D-28
40 BATEMAN AVE,14-192C-8
41 BATEMAN AVE,14-192D-29
44 BATEMAN AVE,14-192C-7
45 BATEMAN AVE,14-192D-30
48 BATEMAN AVE,14-192C-6
49 BATEMAN AVE,14-192D-31
53 BATEMAN AVE,14-192D-32
56 BATEMAN AVE,14-192C-5
57 BATEMAN AVE,14-192D-33
58 BATEMAN AVE,14-192C-4
60 BATEMAN AVE,14-192C-3
64 BATEMAN AVE,14-192C-2
65 BATEMAN AVE,14-192D-34
9 BATEMAN AVE,14-192D-19A
 BATES ST,18-323-31
100 BATES ST,18-324-34A
105 BATES ST,18-323-40
12 BATES ST,18-324-60
18 BATES ST,18-324-6A
20 BATES ST,18-324-57A
21 BATES ST,18-323-24
23 BATES ST,18-323-25
28 BATES ST,18-324-56
29 BATES ST,18-323-26
32 BATES ST,18-324-54
35 BATES ST,18-323-27A
36 BATES ST,18-324-53
42 BATES ST,18-324-12A
43 BATES ST,18-323-29
45 BATES ST,18-323-30
5 BATES ST,18-323-21A
52 BATES ST,18-324-47A
55 BATES ST,18-323-32
56 BATES ST,18-324-46
57 BATES ST,18-323-33
62 BATES ST,18-324-45
67 BATES ST,18-323-34
68 BATES ST,18-324-44
69 BATES ST,18-323-35
76 BATES ST,18-324-21B
77 BATES ST,18-323-36
82 BATES ST,18-324-41
83 BATES ST,18-323-37
86 BATES ST,18-324-39A
90 BATES ST,18-324-24A
91 BATES ST,18-323-38
94 BATES ST,18-324-36A
95 BATES ST,18-323-39
 BAY RD,10-186B-15
104 BAY RD,10-187B-9
11 BAY RD,10-186D-9
12 BAY RD,10-186B-21
14 BAY RD,10-186B-20
16 BAY RD,10-186B-17A-1
18 BAY RD,10-186B-16
21 BAY RD,10-186C-8
25 BAY RD,10-186C-9
28 BAY RD,10-186B-14
46 BAY RD,10-187A-16
50 BAY RD,10-187A-15
52 BAY RD,10-187A-14
56 BAY RD,10-187A-13
6 BAY RD,10-186B-23
60 BAY RD,10-187A-12
63 BAY RD,10-187C-30
64 BAY RD,10-187A-11
7 BAY RD,10-186D-6A
70 BAY RD,10-187A-10
73 BAY RD,10-187C-31
74 BAY RD,10-187A-9
77 BAY RD,10-187C-32
8 BAY RD,10-186B-22
81 BAY RD,10-187C-33
82 BAY RD,10-187B-13
84 BAY RD,10-187B-12
85 BAY RD,10-187C-34
89 BAY RD,10-187C-35
95 BAY RD,10-187C-36A-B
95A BAY RD,10-187C-36A-A
96 BAY RD,10-187B-10
16 BAY VIEW ST,15-215-2
17 BAY VIEW ST,15-216B-11
18 BAY VIEW ST,15-215-1
8 BAY VIEW ST,15-215-2A
9 BAY VIEW ST,15-216B-15
 BEACH RD,18-325-17
10 BEACH RD,18-325-21
17 BEACH RD,18-325A-4
18 BEACH RD,18-325-20
19 BEACH RD,18-325A-5
20 BEACH RD,18-325-19
21 BEACH RD,18-325A-6
22 BEACH RD,18-325-18
27 BEACH RD,18-325A-8
29 BEACH RD,18-325A-10A
36 BEACH RD,18-325-16
40 BEACH RD,18-325-15
41 BEACH RD,18-325A-12
46 BEACH RD,18-325-14
53 BEACH RD,18-325A-13
54 BEACH RD,18-325-13A-A
55 BEACH RD,18-325A-15
59 BEACH RD,18-325A-17
60 BEACH RD,18-325-12A
64 BEACH RD,18-325-11A
65 BEACH RD,18-325A-18
94 BEACH RD,18-324H&I-9
 BEACH ST,15-257-40
1 BEACH ST,15-219A-4A
101 BEACH ST,15-223-1
108 BEACH ST,15-257-1
109 BEACH ST,15-224-1
12 BEACH ST,15-254-24
140 BEACH ST,15-258-1
150 BEACH ST,15-258-21
