Address,Parcel ID
 WALNUT ST,33-470-10
101 WALNUT ST,34-471-1A
12 WALNUT ST,33-469A-17
15 WALNUT ST,33-470-26C
160 WALNUT ST,34-469D-8A
161 WALNUT ST,34-471-9B
163 WALNUT ST,34-471-11A
164 WALNUT ST,34-469E-9A
172 WALNUT ST,34-467F-1A
176 WALNUT ST,34-467F-2A
180 WALNUT ST,34-467F-3A
184 WALNUT ST,34-467F-4A
22 WALNUT ST,33-469A-16
25 WALNUT ST,33-470-1
29 WALNUT ST,33-470-2
32 WALNUT ST,33-469A-15
35 WALNUT ST,33-470-3
36 WALNUT ST,33-469A-14
38 WALNUT ST,33-469A-13
43 WALNUT ST,33-470-4A
51 WALNUT ST,33-470-5
59 WALNUT ST,33-470-6
8 WALNUT ST,33-469A-18
101 KIMBALL AVE,8-151-23
102 KIMBALL AVE,8-152-14
107 KIMBALL AVE,8-151-24
108 KIMBALL AVE,8-152-13
11 KIMBALL AVE,8-150-18
112 KIMBALL AVE,8-152-12
113 KIMBALL AVE,8-151-25
114 KIMBALL AVE,8-152-11
118 KIMBALL AVE,8-152-10
119 KIMBALL AVE,8-151-26
124 KIMBALL AVE,8-152-9
125 KIMBALL AVE,8-151-27
127 KIMBALL AVE,8-151-28
132 KIMBALL AVE,8-152-8
133 KIMBALL AVE,8-151-29
137 KIMBALL AVE,8-151-30
138 KIMBALL AVE,8-152-7
139 KIMBALL AVE,8-151-31
142 KIMBALL AVE,8-152-6
15 KIMBALL AVE,8-150-19
162 KIMBALL AVE,8-159-3
164 KIMBALL AVE,8-159-2
172 KIMBALL AVE,8-159-1A-2A
21 KIMBALL AVE,8-150-20
25 KIMBALL AVE,8-150-21
31 KIMBALL AVE,8-150-22
35 KIMBALL AVE,8-150-23
43 KIMBALL AVE,8-150-24-0000
45 KIMBALL AVE,8-150-25
51 KIMBALL AVE,8-150-26
57 KIMBALL AVE,8-150-27
61 KIMBALL AVE,8-150-28
65 KIMBALL AVE,8-150-29
7 KIMBALL AVE,8-150-17
83 KIMBALL AVE,8-151-19
84 KIMBALL AVE,8-152-19
86 KIMBALL AVE,8-152-18
88 KIMBALL AVE,8-152-17
89 KIMBALL AVE,8-151-20
92 KIMBALL AVE,8-152-16
